18.8616 	WARNING 	Font Manager failed to load file /System/Library/PrivateFrameworks/FontServices.framework/Resources/Reserved/PingFangUI.ttc
35.8246 	DATA 	[STRUCTURE] Logging initialized. Log file: logs/1_M_L.log
35.8255 	DATA 	Starting experiment
35.8423 	WARNING 	Monitor specification not found. Creating a temporary one...
35.8898 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
37.4086 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

37.4731 	DATA 	[STRUCTURE] Running right-hand calibration
37.4942 	WARNING 	t of last frame was 85.85ms (=1/11)
37.4955 	DATA 	[STRUCTURE] Starting calibration for right key using LEFT hand
38.1464 	DATA 	Keypress: space
38.1547 	WARNING 	t of last frame was 660.47ms (=1/1)
39.2259 	WARNING 	t of last frame was 1071.19ms (=1/0)
40.2311 	WARNING 	t of last frame was 1005.20ms (=1/0)
41.2369 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
42.0302 	DATA 	Keypress: right
42.0433 	DATA 	Keypress: right
42.0440 	DATA 	Keypress: right
42.0520 	DATA 	[STRUCTURE] Calibration started - Duration: 2s
42.1920 	DATA 	Keypress: right
42.3251 	DATA 	Keypress: right
42.4755 	DATA 	Keypress: right
42.6259 	DATA 	Keypress: right
42.7665 	DATA 	Keypress: right
42.8999 	DATA 	Keypress: right
43.0275 	DATA 	Keypress: right
43.1585 	DATA 	Keypress: right
43.2944 	DATA 	Keypress: right
43.4260 	DATA 	Keypress: right
43.5599 	DATA 	Keypress: right
43.6999 	DATA 	Keypress: right
43.8585 	DATA 	Keypress: right
44.0139 	DATA 	Keypress: right
44.0582 	DATA 	[STRUCTURE] Calibration completed - Final count: 14
44.1635 	DATA 	Keypress: right
44.8007 	DATA 	Keypress: space
44.8023 	DATA 	[DATA] Right-key clicks: 14
44.8023 	DATA 	[STRUCTURE] Running left-hand calibration
44.8225 	DATA 	[STRUCTURE] Starting calibration for left key using LEFT hand
45.1762 	DATA 	Keypress: left
45.3472 	DATA 	Keypress: left
45.5568 	DATA 	Keypress: space
45.7470 	DATA 	Keypress: left
45.9028 	DATA 	Keypress: left
46.0609 	DATA 	Keypress: left
46.2078 	DATA 	Keypress: left
46.3678 	DATA 	Keypress: left
46.5273 	DATA 	Keypress: left
46.7045 	DATA 	Keypress: left
46.8688 	DATA 	Keypress: left
47.0361 	DATA 	Keypress: left
47.4199 	DATA 	Keypress: left
47.6080 	DATA 	Keypress: left
47.7692 	DATA 	Keypress: left
47.9382 	DATA 	Keypress: left
48.1054 	DATA 	Keypress: left
48.2610 	DATA 	Keypress: left
48.4205 	DATA 	Keypress: left
48.5701 	DATA 	Keypress: left
48.7378 	DATA 	Keypress: left
48.9011 	DATA 	Keypress: left
49.0580 	DATA 	Keypress: left
49.0839 	DATA 	[STRUCTURE] Calibration started - Duration: 2s
49.2270 	DATA 	Keypress: left
49.3803 	DATA 	Keypress: left
49.5506 	DATA 	Keypress: left
49.7088 	DATA 	Keypress: left
49.8650 	DATA 	Keypress: left
50.0314 	DATA 	Keypress: left
50.1977 	DATA 	Keypress: left
50.3643 	DATA 	Keypress: left
50.5276 	DATA 	Keypress: left
50.6967 	DATA 	Keypress: left
50.8643 	DATA 	Keypress: left
51.0483 	DATA 	Keypress: left
51.0929 	DATA 	[STRUCTURE] Calibration completed - Final count: 12
51.2100 	DATA 	Keypress: left
51.3801 	DATA 	Keypress: left
51.7017 	DATA 	Keypress: space
51.7022 	DATA 	[DATA] Left-key clicks: 12
51.7022 	DATA 	[DATA] Hard clicks required: 20
52.3566 	DATA 	Keypress: space
52.3569 	DATA 	[STRUCTURE] Running practice trials
54.8615 	DATA 	Keypress: left
55.2397 	DATA 	Keypress: space
55.4893 	DATA 	Keypress: space
55.6808 	DATA 	Keypress: space
55.8542 	DATA 	Keypress: space
56.0122 	DATA 	Keypress: space
56.1873 	DATA 	Keypress: space
56.3653 	DATA 	Keypress: space
56.6953 	DATA 	Keypress: space
56.8515 	DATA 	Keypress: space
57.1012 	DATA 	Keypress: space
