17.5627 	WARNING 	Font Manager failed to load file /System/Library/PrivateFrameworks/FontServices.framework/Resources/Reserved/PingFangUI.ttc
36.6227 	WARNING 	Monitor specification not found. Creating a temporary one...
36.6620 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
38.1783 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

38.2611 	WARNING 	t of last frame was 83.01ms (=1/12)
46.6115 	DATA 	Keypress: space
46.6275 	WARNING 	t of last frame was 8366.39ms (=1/0)
47.6787 	WARNING 	t of last frame was 1051.15ms (=1/0)
48.6835 	WARNING 	t of last frame was 1004.77ms (=1/0)
49.6909 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
49.8344 	DATA 	Keypress: right
49.8521 	DATA 	Keypress: right
49.9555 	DATA 	Keypress: right
50.0880 	DATA 	Keypress: right
50.2120 	DATA 	Keypress: right
50.3570 	DATA 	Keypress: right
50.5069 	DATA 	Keypress: right
50.6463 	DATA 	Keypress: right
50.7785 	DATA 	Keypress: right
50.9074 	DATA 	Keypress: right
51.0415 	DATA 	Keypress: right
51.1593 	DATA 	Keypress: right
51.2625 	DATA 	Keypress: right
51.4066 	DATA 	Keypress: right
51.5464 	DATA 	Keypress: right
51.6731 	DATA 	Keypress: right
52.0432 	DATA 	Keypress: right
52.1451 	DATA 	Keypress: right
52.2740 	DATA 	Keypress: right
52.9358 	DATA 	Keypress: space
53.8683 	DATA 	Keypress: space
57.0958 	DATA 	Keypress: left
57.2754 	DATA 	Keypress: left
57.4234 	DATA 	Keypress: left
57.5432 	DATA 	Keypress: left
57.6752 	DATA 	Keypress: left
57.8110 	DATA 	Keypress: left
57.9426 	DATA 	Keypress: left
58.0634 	DATA 	Keypress: left
58.1962 	DATA 	Keypress: left
58.3296 	DATA 	Keypress: left
58.4617 	DATA 	Keypress: left
58.5954 	DATA 	Keypress: left
58.7405 	DATA 	Keypress: left
58.8750 	DATA 	Keypress: left
58.9969 	DATA 	Keypress: left
59.1454 	DATA 	Keypress: left
59.2262 	DATA 	Keypress: left
59.3802 	DATA 	Keypress: left
59.5439 	DATA 	Keypress: left
60.0754 	DATA 	Keypress: space
60.8685 	DATA 	Keypress: space
